"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"fantasy stl files",1,0,0,3905,"100","1","17","N/A"
"tech aesthetic",0,0,0,14107,"","1","14","N/A"
"ironlung",3,0,0,0,"","1","8","N/A"
"markaplier",0,0,0,0,"","1","10","N/A"
"markaplier movie",0,0,0,0,"","1","16","N/A"
"markaplier sticker",0,0,0,0,"","1","18","N/A"
"vintage medicine",0,0,0,16976,"","1","16","N/A"
"movie inspired",0,0,0,33102,"","1","14","N/A"
"red and black",21,0,0,1831842,"100","1","13",14800
"character bracelet",26,39,150,2446,"99","1","18","N/A"
"the fish",0,0,0,424558,"","1","8","N/A"
"video game fanart",0,0,0,4189,"","1","17","N/A"
"speedstreak",0,0,0,29,"","1","11","N/A"
"horror fanart",0,0,0,1303,"","1","13","N/A"
"horror game fanart",0,0,0,439,"","1","18","N/A"
"women blouse shirt",6,0,0,64862,"100","1","18",720
"dark aesthetic top",0,0,0,4833,"","1","18","N/A"
"gamer button shirt",0,0,0,0,"","1","18","N/A"
"indie horror movie",0,0,0,0,"","1","18","N/A"
"monster frog fish",0,0,0,0,"","1","17","N/A"
"nerdy bifold wallet",0,0,0,10,"","1","19","N/A"
"warfstache",1,0,0,38,"79","1","10","N/A"
"sm18",0,0,0,0,"","1","4","N/A"
"game adaptation",0,0,0,0,"","1","15","N/A"
"the butcher",0,0,0,17701,"","1","11","N/A"
"markiplier pin",9,9,100,35,"29","1","14","N/A"
"youtuber pin",0,0,0,74,"","1","12","N/A"
"rubber ducky",8,1,13,10398,"100","1","12",110000
"pc gaming decor",0,0,0,3978,"","1","15","N/A"
"desk accessory",8,1,13,191402,"100","1","14",9900
