"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"spicy books",0,0,0,19362,"","3","11","N/A"
"digital download",0,0,0,8592990,"","3","16",2900
"booktok bookstagram",0,0,0,18072,"","3","19","N/A"
"bookish sticker",0,0,0,71932,"","3","15",4400
"books",0,0,0,3210620,"","3","5",823000
"hockey romance queer",0,0,0,0,"","3","20","N/A"
"bookful romance",0,0,0,479,"","3","15","N/A"
"booking lovers gifts",0,0,0,485,"","3","20","N/A"
"hockey bookish shirt",0,0,0,0,"","3","20","N/A"
"lgbt romance booktok",0,0,0,0,"","3","20","N/A"
"team hollanov tee",0,0,0,1512,"","3","17","N/A"
"bookish sweatshirt",0,0,0,73898,"","3","18",1300
"romance reader gift",2,0,0,43338,"100","3","19","N/A"
"acotar",0,0,0,49902,"","2","6",135000
"romance fantasy",0,0,0,33834,"","2","15","N/A"
"read comfort colors",0,0,0,9769,"","2","19","N/A"
"booktok shirt",8,1,13,29228,"100","2","13",110
"gift for bookworm",1,0,0,192673,"100","2","17","N/A"
"reading lover gift",1,0,0,244561,"100","2","18","N/A"
"bookworm sublimation",0,0,0,4232,"","2","20","N/A"
"reading svg",29,33,114,19045,"100","2","11",170
"bookworm gift",0,0,0,192919,"","2","13",720
"librarian png",8,1,13,10880,"100","2","13",720
"bookworm png",8,1,13,15722,"100","2","12","N/A"
"slow burn mug",0,0,0,0,"","2","13","N/A"
"games for adults",0,0,0,132638,"","2","16",3600
"historical fiction",0,0,0,9583,"","2","18","N/A"
"heat press design",0,0,0,56310,"","2","17","N/A"
"bookish gift idea",1,0,0,26005,"100","2","17","N/A"
"booktook gifts",0,0,0,0,"","2","14","N/A"
"hockey boys aquarium",0,0,0,0,"","2","20","N/A"
"gift for her",0,0,0,5409638,"","2","12",33100
"cute teacher shirt",4,0,0,185231,"100","2","18",880
"group teacher shirt",27,23,85,38958,"100","2","19",0
"literary humor tee",0,0,0,1188,"","2","18","N/A"
"lewis and irene",0,0,0,3425,"","2","15","N/A"
"books and cats",2,0,0,57469,"100","2","14","N/A"
"read",7,1,14,217742,"100","2","4",301000
"cute bookish sayings",0,0,0,0,"","2","20","N/A"
"holiday gift for her",0,0,0,463244,"","2","20","N/A"
"canvas tote bag",0,0,0,256131,"","1","15",135000
"library tote",18,5,28,18811,"100","1","12",260
