"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"affirmation",440,248,56,307681,"100","1","11",1220000
"autumn shirt",430,632,147,360521,"100","1","12",210
"medieval shirt",395,483,122,13280,"76","1","14",1900
"dachshund gift",406,400,99,64420,"100","1","14",4400
"floral png",373,439,118,432682,"100","1","10",720
"reading poster",358,318,89,26611,"94","1","14",2400
"long sleeve shirt",398,387,97,990375,"100","1","17",74000
"fantasy wall art",379,461,122,483218,"100","1","16",210
"christmas designs",408,556,136,258363,"100","1","17",8100
"from the library of",409,400,98,8309,"65","1","19",210
"sublimation design",308,277,90,1862527,"100","4","18","N/A"
"cute bookmark",299,378,126,47570,"100","2","13",5400
"gift for teacher",298,251,84,1486040,"100","2","16",12100
"librarian shirt",324,369,114,85437,"100","2","15",110
"cat coffee mug",302,294,97,57975,"100","1","14",1300
"books png",322,377,117,64812,"100","1","9",12100
"library shirt",334,326,98,35635,"100","1","13",1300
"i need a diet coke",334,296,89,1791,"36","1","18","N/A"
"dragon sticker",334,335,100,27584,"96","1","14",1300
"english teacher gift",288,282,98,27494,"99","4","20",390
"gift for readers",243,306,126,357230,"100","3","16",8100
"funny clipart",261,175,67,217751,"100","2","13",3600
"gift for writer",241,354,147,80257,"100","2","15","N/A"
"english teacher",265,154,58,35225,"100","2","15",49500
"unisex tshirt",233,341,146,1842261,"100","1","13",1300
"teacher badge reel",268,393,147,67327,"100","1","18",320
"student teacher gift",243,290,119,152186,"100","1","20",1000
"gifts under 10",233,347,149,49156,"100","1","14","N/A"
"kawaii shirt",265,341,129,82780,"100","1","12",720
"diet coke gifts",283,366,129,4225,"59","1","15",1600
"reading png",194,97,50,48173,"100","5","11",720
"reading wall art",198,190,96,101197,"100","2","16",110
"journaling stickers",222,253,114,323564,"100","1","19",3600
"reader shirt",174,252,145,116451,"100","1","12",40
"black woman",180,37,21,3670865,"100","1","11",0
"fantasy home decor",177,253,143,532806,"100","1","18",110
"smut reader",218,314,144,32377,"100","1","11",480
"new teacher gift",205,199,97,109725,"100","1","16",1000
"library wall art",205,197,96,49347,"100","1","16",210
"librarian gift",113,104,92,130885,"100","14","14",210
"author",102,93,91,63807,"100","2","6",74000
"iced coffee glass",132,189,143,62282,"100","1","17","N/A"
"pet sticker",139,188,135,76623,"100","1","11",720
"cat mom gift",150,160,107,228076,"100","1","12",880
"funny bookmark",132,140,106,10865,"96","1","14",1600
"flowers png",138,152,110,461860,"100","1","11",22200
"smut stickers",137,128,93,15110,"100","1","13",480
"vintage valentine",103,96,93,234277,"100","1","17",4400
"3d tumbler wrap",132,189,143,50173,"100","1","15",20
"reading teacher png",128,189,148,9509,"94","1","19","N/A"
"png for sublimation",129,190,147,2427997,"100","1","19","N/A"
"librarian tshirt",107,1,1,64832,"100","1","16",70
"booktok merch",107,99,93,34621,"100","1","13",110
"reader sweatshirt",128,189,148,49372,"100","1","17","N/A"
"clear case",128,189,148,53413,"100","1","10","N/A"
"bookish design",127,0,0,46150,"100","1","14","N/A"
"bookish tshirt",108,97,90,117142,"100","1","14",2900
"introvert shirt",79,94,119,58787,"100","4","15",210
"cozy reading",44,63,143,85582,"100","3","12","N/A"
"iron on",33,33,100,569387,"100","1","7",2900
"booklover",44,1,2,35195,"100","1","9",140
"silicone bead",46,60,130,73283,"100","1","13","N/A"
"embroidered cap",91,49,54,225591,"100","1","15",590
"coquette bow",49,64,131,514398,"100","1","12",14800
"retractable reel",43,63,147,96798,"100","1","16",590
"anniversary bookmark",45,0,0,4247,"99","1","20","N/A"
"funny valentines",94,66,70,170063,"100","1","16","N/A"
"boho wildflower",43,0,0,115354,"100","1","15","N/A"
"for readers",88,51,58,430244,"100","1","11",30
"couple blanket",63,59,94,18767,"100","1","14",1600
